"dataset","genes","samples","global_mean","global_sd"
"TCGA",9330,1059,6.42343880898292,2.19893494863218
"Terunuma",9330,61,6.42251032729219,2.18491812360859
"Kao",9330,327,6.42462003748586,2.20120501694182
