"dataset","genes","samples","global_mean","global_sd"
"TCGA",9330,1059,6.37554572675187,2.23881021433125
"Terunuma",9330,61,7.50037653567814,1.47462487740119
"Kao",9330,327,6.37484432956069,2.23486522161959
