cohort,comparison,reference,HR,CI_low,CI_high,p_value
TCGA,Medium,Low,1.76918874415317,0.95993791001272,3.26065756940133,0.0674152931502591
TCGA,High,Low,7.33110349508433,4.09778528825224,13.1156404435628,1.91380118952462e-11
Terunuma,Medium,Low,2.26352340815131,0.634753646426163,8.0716956067852,0.207918201579251
Terunuma,High,Low,5.20065774071777,1.43875618478989,18.7987660605869,0.0119093086098017
Kao,Medium,Low,2.16051743257168,1.0375949765814,4.49870679966612,0.039533924922081
Kao,High,Low,5.86073050071623,2.83647358593408,12.1094594965933,1.79122624421979e-06
