model,n,median_Cindex,mean_Cindex,Q1,Q3,min,max
Clin,100,0.75727519706956,0.758851427462236,0.726729178111032,0.793690504669496,0.647935779816514,0.90126582278481
M2EFM Meth+Exp+Clin,100,0.779247384297836,0.777534646503336,0.745399378645646,0.814441049146932,0.649023314429742,0.891936824605154
M2EFM Meth+Exp,100,0.682035377265369,0.678183081798391,0.633152943313371,0.720769644716236,0.530560806553245,0.834640522875817
