split,cohort,model,c_index
13,Kao,M2EFM_Molecular,0.699672784179827
13,Kao,M2EFM_ExpClin,0.695831554986485
13,Kao,Clinical,0.565585431782615
13,Terunuma,M2EFM_Molecular,0.640035118525022
13,Terunuma,M2EFM_ExpClin,0.687445127304653
13,Terunuma,Clinical,0.653204565408253
14,TCGA_test,M2EFM_Molecular,0.700181708055724
14,TCGA_test,M2EFM_ExpClin,0.733091055925702
14,TCGA_test,Clinical,0.72814455885322
14,Kao,M2EFM_Molecular,0.701237729406744
14,Kao,M2EFM_ExpClin,0.701949068146251
14,Kao,Clinical,0.620880163133684
14,Terunuma,M2EFM_Molecular,0.672519754170325
14,Terunuma,M2EFM_ExpClin,0.697980684811238
14,Terunuma,Clinical,0.665496049165935
15,TCGA_test,M2EFM_Molecular,0.696799813127774
15,TCGA_test,M2EFM_ExpClin,0.727867320719458
15,TCGA_test,Clinical,0.661644475589815
15,Kao,M2EFM_Molecular,0.683264570588514
15,Kao,M2EFM_ExpClin,0.688243941765069
15,Kao,Clinical,0.614715227391284
15,Terunuma,M2EFM_Molecular,0.609306409130817
15,Terunuma,M2EFM_ExpClin,0.678665496049166
15,Terunuma,Clinical,0.662862159789289
16,TCGA_test,M2EFM_Molecular,0.618350204609089
16,TCGA_test,M2EFM_ExpClin,0.736161964247254
16,TCGA_test,Clinical,0.744561705793668
16,Kao,M2EFM_Molecular,0.695167638829611
16,Kao,M2EFM_ExpClin,0.705268648930621
16,Kao,Clinical,0.598212168634704
16,Terunuma,M2EFM_Molecular,0.661106233538192
16,Terunuma,M2EFM_ExpClin,0.684811237928007
16,Terunuma,Clinical,0.659350307287094
17,TCGA_test,M2EFM_Molecular,0.815485019282112
17,TCGA_test,M2EFM_ExpClin,0.832987244141205
17,TCGA_test,Clinical,0.798427766241471
17,Kao,M2EFM_Molecular,0.683881064162754
17,Kao,M2EFM_ExpClin,0.688101674017167
17,Kao,Clinical,0.613671930573339
17,Terunuma,M2EFM_Molecular,0.637401229148376
17,Terunuma,M2EFM_ExpClin,0.680421422300263
17,Terunuma,Clinical,0.662862159789289
18,TCGA_test,M2EFM_Molecular,0.716510903426791
18,TCGA_test,M2EFM_ExpClin,0.782554517133956
18,TCGA_test,Clinical,0.71318795430945
18,Kao,M2EFM_Molecular,0.689144970835112
18,Kao,M2EFM_ExpClin,0.696353203395457
18,Kao,Clinical,0.603144117228624
18,Terunuma,M2EFM_Molecular,0.605794556628622
18,Terunuma,M2EFM_ExpClin,0.671641791044776
18,Terunuma,Clinical,0.660228270412643
19,TCGA_test,M2EFM_Molecular,0.747490519741245
19,TCGA_test,M2EFM_ExpClin,0.833370510818648
19,TCGA_test,Clinical,0.823109524871738
19,Kao,M2EFM_Molecular,0.686584151372884
19,Kao,M2EFM_ExpClin,0.706027410252762
19,Kao,Clinical,0.618935837245696
19,Terunuma,M2EFM_Molecular,0.638279192273925
19,Terunuma,M2EFM_ExpClin,0.704126426690079
19,Terunuma,Clinical,0.665496049165935
20,TCGA_test,M2EFM_Molecular,0.759641873278237
20,TCGA_test,M2EFM_ExpClin,0.799127640036731
20,TCGA_test,Clinical,0.763200183654729
20,Kao,M2EFM_Molecular,0.692417129036847
20,Kao,M2EFM_ExpClin,0.695878977569119
20,Kao,Clinical,0.588964765021103
20,Terunuma,M2EFM_Molecular,0.676909569798069
20,Terunuma,M2EFM_ExpClin,0.686567164179104
20,Terunuma,Clinical,0.656716417910448
21,TCGA_test,M2EFM_Molecular,0.634920634920635
21,TCGA_test,M2EFM_ExpClin,0.717280622941
21,TCGA_test,Clinical,0.76115603474094
21,Kao,M2EFM_Molecular,0.698155261535543
21,Kao,M2EFM_ExpClin,0.721012946365059
21,Kao,Clinical,0.642362593066818
21,Terunuma,M2EFM_Molecular,0.616330114135206
21,Terunuma,M2EFM_ExpClin,0.700614574187884
21,Terunuma,Clinical,0.662862159789289
22,TCGA_test,M2EFM_Molecular,0.692093885114268
22,TCGA_test,M2EFM_ExpClin,0.792773316862261
22,TCGA_test,Clinical,0.777177269919704
22,Kao,M2EFM_Molecular,0.691658367714706
22,Kao,M2EFM_ExpClin,0.712334613743064
22,Kao,Clinical,0.640181154265661
22,Terunuma,M2EFM_Molecular,0.655838454784899
