gene_id
ZFP92
CASP5
S1PR1
ATP10D
ZNF485
RBBP6
TDP1
N4BP2
HERC3
SPATC1
IL1RN
DDAH1
THOC1
STARD4
ACYP1
TCF3
TEX19
ITGB3
GOLM1
ANP32A
PDE1C
MKI67
CA5B
NAT1
HSF2BP
NAMPT
TUBA1C
MVD
HMGN2
TCP1
PHKG2
SFMBT1
PSMD11
CEP63
FBXO15
SHMT1
LTBP3
DAPL1
CHD9
USP45
GP2
SMAD6
HIPK4
EGR2
MORC3
AHCYL2
AP1S1
GUSB
P2RX2
HMGXB3
ZNF160
BTBD8
AIM2
AP4B1
CEP152
SLC7A2
CHADL
GNA14
DHX57
FOXN1
TRPS1
IGFL2
FLVCR1
KRT15
GORASP2
KCNJ5
ADIPOQ
PSPN
SMAD9
GSTO2
ZDHHC5
CEP55
POU2F1
SYNGR3
EPYC
RAB5C
PRDM16
FOXC1
SEMA5B
SEC24A
IER3IP1
SLC35A4
TNFSF14
CLEC11A
CENPO
NR4A3
UCKL1
SOX21
CCT5
RNFT1
ELK1
RPL5
ACO2
RPS24
FAM111B
USP5
CTDSP2
MRPS21
ACTN4
NADK
GNPDA2
KIT
ASTN1
SLC26A1
MRPL45
KCNMB1
AMIGO2
MKRN3
ELL3
ANXA13
DLG2
GAK
ASGR1
LAMA3
FCN1
TNFSF10
ACTR10
EVC
RPL14
GAL3ST1
MRPL18
RPS29
UCHL1
FANCF
RHOBTB2
HOMER1
EPHX4
FUCA2
TMEM135
PKIB
GPR83
TRHDE
SRF
MAPK3
PRMT1
MLLT11
TMEM160
TNFAIP2
GK5
PFKFB4
SPATA7
TRIM33
EFNA1
C1QBP
MYOT
CYP4B1
NDUFAF3
TNFSF18
ADAM17
CAMP
RIPK2
STAR
MTFMT
BAZ1B
TBC1D20
ZMYM3
IFT52
DYNC2LI1
MOCS3
CYP4A11
IL2RB
WWOX
KIAA0232
GBP4
ANAPC7
TPP1
PTBP2
ACVRL1
APOBEC3D
DCLRE1C
MED27
CA12
ST20
CBLC
BMP4
CAPN7
TRIM38
HOXB7
NUP37
GLP1R
TPMT
RAC2
SGSM2
LMAN2
ZNF260
BRD4
CDH5
XKR8
TMEM201
RELB
CD14
TBC1D26
CCNG1
BCAN
GMFG
PYDC1
TMC2
DHX38
INPP5F
EML6
TMEM63A
TADA2A
PDIK1L
ZNF213
KDM5B
RING1
AKAP6
NFKBIZ
TRMT61A
FMO1
AADAC
ALX4
BFSP1
IDH3A
EP400
PURA
NSUN4
ARID1A
IDO1
CST7
AMIGO1
DCC
UBASH3A
PRR15L
SPHKAP
SULF1
LIMK1
RAE1
ENY2
THY1
PPTC7
BCL6B
GALNT10
CYP2B6
UTP23
RPS19
EXOSC1
PLAC8L1
CRISPLD1
PFAS
XPOT
MITD1
CRYZ
CTSG
RFC2
AQR
ARHGEF37
IKZF4
TPT1
NUP54
RC3H2
DNAJC8
MED21
CEP72
ADCY4
TSPAN18
VPS11
UNC119B
SORL1
PADI2
TEX10
MS4A15
DIO1
NUDT14
PCP4L1
PLP1
EFCAB7
SLC1A7
SBNO1
PUM1
ZNF839
ATG10
MTMR6
ZNF419
C11orf65
FBLN5
SLITRK2
EIF2S1
ZNF510
PAX2
EXOSC9
GRM8
POM121L9P
EIF3A
EFNB1
RPTOR
ZNF385A
TTC17
CXCR6
CA14
PHAX
S100Z
CMC1
VAMP5
NLRP12
ZNF408
DNAJC21
RPRD1B
OSBPL5
ZC3H14
UBA5
FKBP14
TMF1
