cohort,model,n,median,mean,q025,q975
TCGA_test,Clinical,100,0.757275197069559,0.758851427462236,0.653669121252328,0.840420611151428
TCGA_test,M2EFM_ExpClin,100,0.779247384297836,0.777534646503336,0.679153988878082,0.86568529299888
TCGA_test,M2EFM_Molecular,100,0.682035377265369,0.678183081798391,0.548972017303714,0.821559229817884
