gene_id
ESR1
TFF1
FOXA1
TFF3
KRT14
CA12
GABRP
SCUBE2
NAT1
KRT16
PGR
CXCL13
ADAM6
CD79A
POU2AF1
ERBB4
CXCL9
MAPT
AFF3
MLPH
KRT17
AR
CLSTN2
MS4A1
ANKRD30A
SLC7A2
MSLN
COL11A1
CCL19
MMP13
DNAJC12
SFRP1
A2ML1
KRT5
ELF5
PTPRT
NPNT
PRR15
DACH1
FOXC1
FABP7
GREB1
TBC1D9
FABP4
PSAT1
KLK6
RARRES1
TSPAN1
RET
CHI3L1
PROM1
ANXA9
GRPR
TRIM29
DNALI1
RIMS4
ELOVL2
MMP7
SLC39A6
GP2
LTB
NKAIN1
BCAS1
PKP1
GZMK
GJB2
CD3E
PTPRCAP
CHAD
TPRG1
IDO1
FOLR1
PTGDS
IL2RG
KRT6A
CACNA2D2
CD2
TTYH1
AKR7A3
KLK10
KLK7
WNK4
KCNJ3
CAPN13
ABAT
EMILIN1
ITK
GZMA
MMP1
PPP1R14C
RASEF
LCK
CD3D
ZAP70
S100A8
HAPLN3
LYZ
SYT9
MYB
SELL
SLC16A6
CRABP1
SYTL5
SLC6A14
TFAP2B
ACADSB
IGF2BP2
VAV3
ID4
ZG16B
SCARA5
KIF4A
VGLL4
PYY2
