split,cohort,model,c_index
58,TCGA_test,Clinical,0.697068403908795
59,TCGA_test,M2EFM_Molecular,0.780884808013356
59,TCGA_test,M2EFM_ExpClin,0.867278797996661
59,TCGA_test,Clinical,0.836602671118531
60,TCGA_test,M2EFM_Molecular,0.723728007608179
60,TCGA_test,M2EFM_ExpClin,0.81359961959106
60,TCGA_test,Clinical,0.777460770328103
61,TCGA_test,M2EFM_Molecular,0.809842041312272
61,TCGA_test,M2EFM_ExpClin,0.777642770352369
61,TCGA_test,Clinical,0.716281895504253
62,TCGA_test,M2EFM_Molecular,0.749413145539906
62,TCGA_test,M2EFM_ExpClin,0.813380281690141
62,TCGA_test,Clinical,0.730633802816901
63,TCGA_test,M2EFM_Molecular,0.588932806324111
63,TCGA_test,M2EFM_ExpClin,0.79100790513834
63,TCGA_test,Clinical,0.821393280632411
64,TCGA_test,M2EFM_Molecular,0.647467036780014
64,TCGA_test,M2EFM_ExpClin,0.695350451075642
64,TCGA_test,Clinical,0.65822345593338
65,TCGA_test,M2EFM_Molecular,0.684655091506335
65,TCGA_test,M2EFM_ExpClin,0.83575786015955
65,TCGA_test,Clinical,0.837165649929611
66,TCGA_test,M2EFM_Molecular,0.694528875379939
66,TCGA_test,M2EFM_ExpClin,0.855243161094225
66,TCGA_test,Clinical,0.808890577507599
67,TCGA_test,M2EFM_Molecular,0.587901701323252
67,TCGA_test,M2EFM_ExpClin,0.745746691871456
67,TCGA_test,Clinical,0.746691871455577
68,TCGA_test,M2EFM_Molecular,0.673165137614679
68,TCGA_test,M2EFM_ExpClin,0.773318042813456
68,TCGA_test,Clinical,0.647935779816514
69,TCGA_test,M2EFM_Molecular,0.707996768982229
69,TCGA_test,M2EFM_ExpClin,0.818255250403877
69,TCGA_test,Clinical,0.762116316639742
70,TCGA_test,M2EFM_Molecular,0.667915106117353
70,TCGA_test,M2EFM_ExpClin,0.818352059925094
70,TCGA_test,Clinical,0.823970037453184
71,TCGA_test,M2EFM_Molecular,0.653013458162668
71,TCGA_test,M2EFM_ExpClin,0.758338209479228
71,TCGA_test,Clinical,0.730544177881802
72,TCGA_test,M2EFM_Molecular,0.824345969033636
72,TCGA_test,M2EFM_ExpClin,0.875066737853711
72,TCGA_test,Clinical,0.812600106780566
73,TCGA_test,M2EFM_Molecular,0.634002361275089
73,TCGA_test,M2EFM_ExpClin,0.793388429752066
73,TCGA_test,Clinical,0.842089728453365
74,TCGA_test,M2EFM_Molecular,0.659332023575638
74,TCGA_test,M2EFM_ExpClin,0.774852652259332
74,TCGA_test,Clinical,0.778388998035363
75,TCGA_test,M2EFM_Molecular,0.68081494057725
75,TCGA_test,M2EFM_ExpClin,0.759479343520091
75,TCGA_test,Clinical,0.76796830786644
76,TCGA_test,M2EFM_Molecular,0.645549738219895
76,TCGA_test,M2EFM_ExpClin,0.763874345549738
76,TCGA_test,Clinical,0.744502617801047
77,TCGA_test,M2EFM_Molecular,0.75297410776767
77,TCGA_test,M2EFM_ExpClin,0.822253324002799
77,TCGA_test,Clinical,0.738978306508048
78,TCGA_test,M2EFM_Molecular,0.683255813953488
78,TCGA_test,M2EFM_ExpClin,0.752558139534884
78,TCGA_test,Clinical,0.737209302325582
79,TCGA_test,M2EFM_Molecular,0.710364410790346
79,TCGA_test,M2EFM_ExpClin,0.853289162328443
79,TCGA_test,Clinical,0.755087553241836
80,TCGA_test,M2EFM_Molecular,0.530560806553245
80,TCGA_test,M2EFM_ExpClin,0.649023314429742
80,TCGA_test,Clinical,0.715185885318211
81,TCGA_test,M2EFM_Molecular,0.615418697385911
81,TCGA_test,M2EFM_ExpClin,0.749224634470536
81,TCGA_test,Clinical,0.790872840053168
82,TCGA_test,M2EFM_Molecular,0.698942229454841
82,TCGA_test,M2EFM_ExpClin,0.807160292921074
82,TCGA_test,Clinical,0.791497152156225
83,TCGA_test,M2EFM_Molecular,0.551561021759697
83,TCGA_test,M2EFM_ExpClin,0.735099337748344
83,TCGA_test,Clinical,0.740066225165563
84,TCGA_test,M2EFM_Molecular,0.75550405561993
84,TCGA_test,M2EFM_ExpClin,0.838933951332561
84,TCGA_test,Clinical,0.799246813441483
85,TCGA_test,M2EFM_Molecular,0.716230010207554
85,TCGA_test,M2EFM_ExpClin,0.785641374617217
85,TCGA_test,Clinical,0.787682885335148
86,TCGA_test,M2EFM_Molecular,0.69576314446146
86,TCGA_test,M2EFM_ExpClin,0.773353751914242
86,TCGA_test,Clinical,0.734047983665135
87,TCGA_test,M2EFM_Molecular,0.6681240063593
87,TCGA_test,M2EFM_ExpClin,0.767488076311606
87,TCGA_test,Clinical,0.758942766295708
88,TCGA_test,M2EFM_Molecular,0.671389216843762
88,TCGA_test,M2EFM_ExpClin,0.800865800865801
88,TCGA_test,Clinical,0.816804407713499
89,TCGA_test,M2EFM_Molecular,0.646533973919012
89,TCGA_test,M2EFM_ExpClin,0.691832532601235
89,TCGA_test,Clinical,0.667810569663693
90,TCGA_test,M2EFM_Molecular,0.719783523752255
90,TCGA_test,M2EFM_ExpClin,0.843054720384847
