cohort,model,n,median,mean,q025,q975
Kao,Clinical,100,0.620477071181297,0.618337838478684,0.577736283017973,0.648930620761607
Kao,M2EFM_ExpClin,100,0.709086166832646,0.708486745388154,0.68767842746716,0.732108645136814
Kao,M2EFM_Molecular,100,0.692464551619481,0.692584530753545,0.671003461848532,0.710796936501162
TCGA_test,Clinical,100,0.74977711053139,0.750989156670606,0.672784090909091,0.82718923676019
TCGA_test,M2EFM_ExpClin,100,0.75715453261153,0.757769876679199,0.703865401403485,0.831135979498393
TCGA_test,M2EFM_Molecular,100,0.676552550161122,0.678787169589479,0.585034264062792,0.790327501232898
Terunuma,Clinical,100,0.66198419666374,0.660877963125549,0.654082528533802,0.665496049165935
Terunuma,M2EFM_ExpClin,100,0.691834942932397,0.689341527655838,0.666330114135206,0.705882352941176
Terunuma,M2EFM_Molecular,100,0.638279192273925,0.637910447761194,0.585469710272169,0.675153643546971
